// Statistic and classification of LTP testcases (on RISC-V musl)
// newly passed testcases should be updated here, not in the rank files.
// Testcases are composed of "units".
// Classification rules:
// 1. all pass:			pass all units
// 2. skip pass:			at least one passed but some units stay not tested due to unimplement feature \
				or output indecates that it passed but not with "TPASS" format
// 3. part fail: 			at least one failed units(sometimes caused by timeout)
// 4. skip:				skip without pass
// 5. skip consuming time:		skip without pass and cost more than 30 seconds
// 4. all fail:			fail all units
// 5. defect panic: 			panicked with wrong implementation
// 6. unimplement panic: 		panic caused by unimplemented syscall(label the syscall number parentheses) or unimplemented function
// 7. timeout with pass: 		timeout but pass at least unit(Timeout means stuck for more than 1 min. When output say "timeout" we call it "skip")
// 8. timeout no pass:			timeout and no pass units
// 9. skip:				some how totally skipped

name			type		pass	fail+broken
fchmodat01			all pass		6	0
fchmodat02			part fail		5	1
fchown01			unimplement panic	0	0
fchown01_16			skip		0	0
fchown02			unimplement panic	0	0
fchown02_16			skip		0	0
fchown03			all fail		1	0
fchown03_16			all fail		1	0		
fchown04			unimplement panic	0	0
fchown04_16			skip		0	0
fchown05			unimplement panic	0	0
fchown05_16			skip		0	0
fchownat01			part fail		4	1
fchownat02			all pass		1	0
fcntl01			all fail		0	2
fcntl01_64			skip		0	0
fcntl02			all pass		6	0
fcntl02_64			all pass		6	0
fcntl03			all pass		1	0
fcntl03_64			all pass		1	0
fcntl04			all pass		1	0
fcntl04_64			all pass		1	0
fcntl05			part fail		5	1
fcntl05_64			part fail		5	1
fcntl07			unimplement panic	0	0
fcntl07_64			unimplement panic	0	0
fcntl08			all pass		1	0
fcntl08_64			all pass		1	0
fcntl09			all pass		4	0
fcntl09_64			all pass		4	0
fcntl10			all pass		4	0
fcntl10_64			all pass		4	0
fcntl11			all fail		0	75
fcntl11_64			all fail		0	75
fcntl12			all pass		1	0
fcntl12_64			all pass		1	0
fcntl13			all fail		0	4
fcntl13_64			all fail		0	4
fcntl14			all fail		0	3
fcntl14_64			all fail		0	3
fcntl15			timeout no pass	0	3
fcntl15_64			part fail		5	7
fcntl16			all pass		6	0
fcntl16_64			all pass		6	0
fcntl17			all fail		0	7
fcntl17_64			all fail		0	7
fcntl18			all fail		0	4
fcntl18_64			all fail		0	4
fcntl19			all fail		0	37
fcntl19_64			all fail		0	37
fcntl20			all fail		0	45
fcntl20_64			all fail		0	45
fcntl21			all fail		0	81
fcntl21_64			all fail		0	81
fcntl22			all fail		0	1
fcntl22_64			all fail		0	1
fcntl23			all pass		2	0
fcntl23_64			skip		0	0
fcntl24			all fail		0	2
fcntl24_64			skip		0	0
fcntl25			all fail		0	2
fcntl25_64			skip		0	0
fcntl26			all fail		0	2
fcntl26_64			skip		0	0
fcntl27			all fail		0	2
fcntl27_64			all fail		0	2
fcntl29			part fail		2	1
fcntl29_64			part fail		2	1
fcntl30			all fail		0	1
fcntl30_64			all fail		0	1
fcntl31			all fail		0	2
fcntl31_64			skip		0	0
fcntl32			all fail		0	18
fcntl32_64			skip		0	0
fcntl33			all fail		0	1
fcntl33_64			all fail		0	1
fcntl34			all pass		1	0
fcntl34_64			all pass		1	0
fcntl35			skip		0	0
fcntl35_64			skip		0	0
